name,rank,industry,market_value_mil,revenue_mil,profit_mil,asset_mil,employees
Chewy,389,Internet Services and Retailing,15959,10099,49,2515,19400
Owens & Minor,390,Wholesalers: Health Care,1109,9956,22,5386,22500
Quest Diagnostics,391,Health Care: Pharmacy and Other Services,15750,9883,946,12837,44500
Public Service Enterprise Group,392,Utilities: Gas and Electric,31148,9800,1031,48718,12525
eBay,393,Internet Services and Retailing,23821,9795,1269,20850,11600
MasTec,394,Engineering & Construction,7441,9778,33,9293,32000
Owens Corning,395,"Building Materials, Glass",8697,9761,1241,10752,19000
Celanese,396,Chemicals,12068,9673,1894,26272,13263
Altice USA,397,Telecommunications,1560,9648,195,33665,11000
Alaska Air Group,398,Airlines,5348,9646,58,14186,24196
SpartanNash,399,Wholesalers: Food and Grocery,870,9643,35,2307,14000
Diamondback Energy,400,"Mining, Crude-Oil Production",24816,9643,4386,26209,972
Intercontinental Exchange,401,Securities,58372,9636,1446,194338,8911
Darden Restaurants,402,Food Services,18884,9630,953,10136,178956
UFP Industries,403,"Building Materials, Glass",4964,9627,693,3672,15500
WEC Energy Group,404,Utilities: Gas and Electric,29900,9597,1408,41872,7022
Yum China Holdings,405,Food Services,26517,9569,442,11826,275500
EnLink Midstream,406,Pipelines,5102,9542,361,8651,1132
Continental Resources,407,"Mining, Crude-Oil Production",,9474,4025,20878,1404
Newell Brands,408,"Home Equipment, Furnishings",5145,9459,197,13262,28000
Graphic Packaging Holding,409,"Packaging, Containers",7829,9440,522,10328,24000
Olin,410,Chemicals,7263,9376,1327,8044,7780
Fifth Third Bancorp,411,Commercial Banks,18143,9353,2446,207452,19319
Thrivent Financial for Lutherans,412,"Insurance: Life, Health (Mutual)",,9347,1085,110100,3692
CenterPoint Energy,413,Utilities: Gas and Electric,18589,9321,1057,38546,8986
Erie Insurance Group,414,Insurance: Property and Casualty (Mutual),,9296,577,26598,5997
CommScope Holding,415,Network and Other Communications Equipment,1336,9228,1287,11685,30000
KLA,416,Semiconductors and Other Electronic Components,55277,9212,3322,12597,14140
JetBlue Airways,417,Airlines,2383,9158,362,13045,18785
Motorola Solutions,418,Network and Other Communications Equipment,47917,9112,1363,12814,20000
Citizens Financial Group,419,Commercial Banks,14709,9069,2073,226733,18889
Coterra Energy,420,"Mining, Crude-Oil Production",18786,9051,4065,20154,1225
Avery Dennison,421,"Packaging, Containers",14513,9039,757,7951,36000
PVH,422,Apparel,5592,9024,200,11768,25000
GXO Logistics,423,Transportation and Logistics,5993,8993,197,9219,112000
Polaris,424,Transportation Equipment,6304,8987,447,5218,16200
Global Payments,425,Financial Data Services,27761,8976,112,44809,25000
Arconic,426,Metals,2607,8961,182,6015,11550
Vertex Pharmaceuticals,427,Pharmaceuticals,81002,8931,3322,18151,4800
Commercial Metals,428,Metals,5727,8914,1217,6237,12483
Autoliv,429,Motor Vehicles & Parts,8013,8842,423,7717,65300
Constellation Brands,430,Beverages,41688,8821,40,25856,10000
Hilton Worldwide Holdings,431,"Hotels, Casinos, Resorts",37535,8773,1255,15512,159000
Foot Locker,432,Specialty Retailers: Apparel,3708,8759,342,7907,31040
Huntsman,433,Chemicals,5025,8715,460,8220,7000
Burlington Stores,434,Specialty Retailers: Apparel,13123,8703,230,7270,38018
Hertz Global Holdings,435,"Automotive Retailing, Services",5252,8685,2059,22497,25000
Masco,436,"Home Equipment, Furnishings",11207,8680,844,5187,19000
Williams-Sonoma,437,Specialty Retailers: Other,8057,8674,1128,4663,16800
Chipotle Mexican Grill,438,Food Services,47186,8635,899,6928,104958
M&T Bank,439,Commercial Banks,20093,8604,1992,200730,22509
LPL Financial Holdings,440,Securities,15914,8601,846,9482,6415
CMS Energy,441,Utilities: Gas and Electric,17902,8596,837,31353,8817
Campbell Soup,442,Food Consumer Products,16465,8562,757,11892,14700
Arthur J. Gallagher,443,Diversified Financials,40955,8551,1114,38908,43640
Blackstone,444,Diversified Financials,62048,8518,1748,42524,4695
Dover,445,Industrial Machinery,21237,8508,1065,10897,25000
ODP,446,Specialty Retailers: Other,1806,8491,166,4149,25000
Packaging Corp. of America,447,"Packaging, Containers",12479,8478,1030,8004,15100
Brighthouse Financial,448,"Insurance: Life, Health (Stock)",2986,8473,5,225580,1500
Beacon Roofing Supply,449,Wholesalers: Diversified,3781,8430,458,6004,7478
Airbnb,450,Internet Services and Retailing,79682,8399,1893,16038,6811
Boise Cascade,451,Wholesalers: Diversified,2506,8387,858,3241,6840
Booz Allen Hamilton Holding,452,Information Technology Services,12261,8364,467,6026,29300
Westinghouse Air Brake Technologies,453,Industrial Machinery,18226,8362,633,18516,27000
ON Semiconductor,454,Semiconductors and Other Electronic Components,35560,8326,1902,11979,31055
Oshkosh,455,Construction and Farm Machinery,5445,8282,174,7729,15000
Franklin Resources,456,Securities,13480,8275,1292,28061,9800
Taylor Morrison Home,457,Homebuilders,4144,8225,1053,8471,3000
