name,rank,industry,market_value_mil,revenue_mil,profit_mil,asset_mil,employees
PNC Financial Services Group,168,Commercial Banks,50800,23542,6041,557263,60720
McDonald's,169,Food Services,204534,23183,6177,50436,150000
Cleveland-Cliffs,170,Metals,9436,22989,1335,18755,27000
Freeport-McMoRan,171,"Mining, Crude-Oil Production",58530,22780,3468,51093,25600
Builders FirstSource,172,"Building Materials, Glass",12253,22726,2749,10595,29000
Oneok,173,Pipelines,28416,22387,1722,24379,2966
Hartford Financial Services Group,174,Insurance: Property and Casualty (Stock),21817,22362,1815,73022,18800
Charles Schwab,175,Securities,95264,22307,7183,551772,35300
Steel Dynamics,176,Metals,19286,22261,3863,14160,12060
Mastercard,177,Financial Data Services,346418,22237,9930,38724,29900
Sherwin-Williams,178,Chemicals,58090,22149,2020,22594,64366
Genuine Parts,179,Wholesalers: Diversified,23559,22096,1183,16495,58000
PG&E,180,Utilities: Gas and Electric,32154,21680,1800,118644,26010
WESCO International,181,Wholesalers: Diversified,7897,21420,861,14812,20000
Murphy USA,182,Specialty Retailers: Other,5621,21266,673,4123,10550
WestRock,183,"Packaging, Containers",7759,21257,945,28406,50500
International Paper,184,"Packaging, Containers",12598,21161,1504,23940,39000
Baker Hughes,185,"Oil and Gas Equipment, Services",29386,21156,601,34181,55000
United States Steel,186,Metals,5930,21065,2524,19458,22740
NextEra Energy,187,Utilities: Gas and Electric,153196,20956,4147,158935,15300
Targa Resources,188,Pipelines,16507,20930,1196,19560,2850
Lear,189,Motor Vehicles & Parts,8248,20892,328,13763,168700
Jones Lang LaSalle,190,Real Estate,6926,20862,655,15594,103300
Goodyear Tire & Rubber,191,Motor Vehicles & Parts,3122,20805,202,22431,74000
Marriott International,192,"Hotels, Casinos, Resorts",51287,20773,2358,24815,140000
Marsh & McLennan,193,Diversified Financials,82371,20720,3050,33454,85000
Altria Group,194,Tobacco,79672,20688,5764,36954,6300
Coupang,195,Internet Services and Retailing,28388,20583,92,9513,63000
Carrier Global,196,Industrial Machinery,38199,20421,3534,26086,52000
Halliburton,197,"Oil and Gas Equipment, Services",28605,20297,1572,23255,45000
Delek US Holdings,198,Petroleum Refining,1538,20246,257,8193,3746
Kimberly-Clark,199,Household and Personal Products,45293,20175,1934,17970,44000
Texas Instruments,200,Semiconductors and Other Electronic Components,168775,20028,8749,27207,33000
Bank of New York Mellon,201,Commercial Banks,36736,19991,2573,405783,51700
ManpowerGroup,202,Temporary Help,4191,19828,374,9130,30900
Whirlpool,203,"Electronics, Electrical Equipment",7197,19724,1519,17124,61000
Waste Management,204,Waste Management,66372,19698,2238,31367,49500
American Electric Power,205,Utilities: Gas and Electric,46806,19640,2307,93469,16974
Emerson Electric,206,Industrial Machinery,49792,19629,3231,35672,85500
Aflac,207,"Insurance: Life, Health (Stock)",39467,19502,4201,131017,12882
Cognizant Technology Solutions,208,Information Technology Services,31031,19428,2290,17852,355300
Becton Dickinson,209,Medical Products and Equipment,70277,19408,1779,52934,77000
BJ's Wholesale Club,210,General Merchandisers,10186,19315,513,6350,34000
Moderna,211,Pharmaceuticals,59232,19263,8362,25858,3900
DTE Energy,212,Utilities: Gas and Electric,22577,19228,1083,42683,10250
Land O'Lakes,213,Food Consumer Products,,19226,241,9770,9000
Kinder Morgan,214,Pipelines,39363,19200,2548,70078,10525
Tenet Healthcare,215,Health Care: Medical Facilities,6077,19174,411,27156,89088
Devon Energy,216,"Mining, Crude-Oil Production",33099,19169,6015,23721,1800
Mosaic,217,Chemicals,15438,19125,3583,23386,13570
Exelon,218,Utilities: Gas and Electric,41651,19078,2170,95349,19063
General Mills,219,Food Consumer Products,50195,18993,2707,31090,32500
Global Partners,220,Wholesalers: Diversified,1055,18878,362,3161,3585
Western Digital,221,"Computers, Office Equipment",12029,18793,1500,26259,65000
Lincoln National,222,"Insurance: Life, Health (Stock)",3802,18766,2241,335108,11316
Ross Stores,223,Specialty Retailers: Apparel,36302,18696,1512,13417,101000
Stryker,224,Medical Products and Equipment,108228,18449,2358,36884,51000
Kyndryl Holdings,225,Information Technology Services,3358,18317,2054,13442,90000
Kohl's,226,General Merchandisers,2607,18098,19,14345,66500
Stanley Black & Decker,227,"Home Equipment, Furnishings",12333,18004,1063,24963,54200
Colgate-Palmolive,228,Household and Personal Products,62535,17967,1785,15731,33800
BlackRock,229,Securities,100526,17873,5178,117628,19800
Fiserv,230,Financial Data Services,70997,17737,2530,83869,41000
Estee Lauder,230,Household and Personal Products,88041,17737,2390,20910,53865
PPG Industries,232,Chemicals,31439,17652,1026,20744,52000
Adobe,233,Computer Software,176769,17606,4756,27165,29239
Block,234,Financial Data Services,41329,17532,541,31364,12428
Synchrony Financial,235,Diversified Financials,12709,17526,3016,104564,18500
Principal Financial,236,"Insurance: Life, Health (Stock)",18068,17492,4812,292240,19300
Lumen Technologies,237,Telecommunications,2654,17478,1548,45581,29000
Corteva,238,Food Production,42977,17455,1147,42618,21000
Andersons,239,Food Production,1396,17351,131,4608,2244
Lam Research,240,Semiconductors and Other Electronic Components,71532,17227,4605,17196,17700
Edison International,241,Utilities: Gas and Electric,27010,17220,612,78041,13110
Dominion Energy,242,Utilities: Gas and Electric,46699,17174,994,104243,17200
Booking Holdings,243,Internet Services and Retailing,99859,17090,3058,25361,21492
Quanta Services,244,Engineering & Construction,23996,17074,491,13464,47300
Expeditors Intl. of Washington,245,Transportation and Logistics,17009,17071,1357,5590,20302
L3Harris Technologies,246,Aerospace & Defense,37277,17062,1062,33524,46000
Reliance Steel & Aluminum,247,Metals,15142,17025,1840,10330,14750
Live Nation Entertainment,248,Entertainment,16211,16681,296,16461,20550
DISH Network,249,Telecommunications,4956,16679,2303,52607,14200
DuPont,250,Chemicals,32895,16549,5868,41355,23000
Automatic Data Processing,251,Diversified Outsourcing Services,92247,16498,2949,63068,60000
Group 1 Automotive,252,"Automotive Retailing, Services",3194,16412,752,6718,15491
Aramark,253,Diversified Outsourcing Services,9326,16327,195,15082,273875
Thor Industries,254,Motor Vehicles & Parts,4262,16313,1138,7408,32000
DXC Technology,255,Information Technology Services,5820,16265,718,20139,130000
Viatris,256,Pharmaceuticals,11513,16263,2079,50022,37000
Reinsurance Group of America,257,"Insurance: Life, Health (Stock)",8876,16258,623,84706,3800
AutoZone,258,Specialty Retailers: Other,45224,16252,2430,15275,90720
PulteGroup,259,Homebuilders,13073,16229,2617,14797,6524
Illinois Tool Works,260,Industrial Machinery,74209,15932,3034,15422,46000
Parker-Hannifin,261,Industrial Machinery,43112,15862,1316,25944,55090
BorgWarner,262,Motor Vehicles & Parts,11481,15801,944,16994,52700
Westlake,263,Chemicals,14812,15794,2247,20550,15920
Consolidated Edison,264,Utilities: Gas and Electric,33967,15670,1660,69065,14319
Gap,265,Specialty Retailers: Apparel,3693,15616,202,11386,95000
Opendoor Technologies,266,Internet Services and Retailing,1131,15567,1353,6608,2570
Nordstrom,267,General Merchandisers,2606,15530,245,8745,60000
Asbury Automotive Group,268,"Automotive Retailing, Services",4557,15434,997,8021,13000
Ball,269,"Packaging, Containers",17326,15349,719,19909,21000
Kellogg,270,Food Consumer Products,22945,15315,960,18496,30000
Xcel Energy,271,Utilities: Gas and Electric,37082,15310,1736,61188,11982
W.W. Grainger,272,Wholesalers: Diversified,34622,15228,1547,7588,24500
Discover Financial Services,273,Commercial Banks,25635,15202,4392,131628,20200
Baxter International,274,Medical Products and Equipment,20504,15113,2433,28287,60000
Southwestern Energy,275,"Mining, Crude-Oil Production",5506,15002,1849,12926,1118
DCP Midstream,276,Pipelines,8701,14993,1052,13334,1910
Jacobs Solutions,277,Engineering & Construction,14890,14923,644,14660,58350
Laboratory Corp. of America,278,Health Care: Pharmacy and Other Services,20304,14877,1279,20155,75200
CSX,279,Railroads,61330,14853,4166,41912,22542
J.B. Hunt Transport Services,280,"Trucking, Truck Leasing",18208,14814,969,7787,37151
Guardian Life Ins. Co. of America,281,"Insurance: Life, Health (Mutual)",,14653,71,91620,8025
Jackson Financial,282,"Insurance: Life, Health (Stock)",3078,14551,5697,311058,3435
Fidelity National Information Services,283,Financial Data Services,32160,14528,16720,63278,69000
Berry Global Group,284,"Packaging, Containers",7151,14495,766,16956,46000
Sempra,285,Utilities: Gas and Electric,47563,14439,2138,78574,15785
IQVIA Holdings,286,Health Care: Pharmacy and Other Services,37022,14410,1091,25337,86000
O'Reilly Automotive,287,Specialty Retailers: Other,52269,14410,2173,12628,79679
Leidos Holdings,288,Information Technology Services,12630,14396,685,13071,45000
Ameriprise Financial,289,Diversified Financials,32228,14347,2559,158468,13500
Omnicom Group,290,"Advertising, Marketing",19001,14289,1317,27003,74200
Tractor Supply,291,Specialty Retailers: Other,25830,14205,1089,8490,36500
Corning,292,"Electronics, Electrical Equipment",29890,14189,1316,29499,57500
Ecolab,293,Chemicals,47121,14188,1092,21464,47000
Icahn Enterprises,294,Diversified Financials,18283,14101,183,27914,20041
Farmers Insurance Exchange,295,Insurance: Property and Casualty (Mutual),,14092,314,22979,11344
Keurig Dr Pepper,296,Beverages,49620,14057,1436,51837,28000
Loews,297,Insurance: Property and Casualty (Stock),13395,14044,1012,75494,12050
